content,username,description,retweet_count
"Володимир Зеленський звернувся до всіх громадян іноземних держав, які є друзями України. Усі, хто хоче приєднатися до захисту безпеки у Європі та світі, можуть приїхати й стати пліч-о-пліч з українцями проти загарбників XXI століття.

Читати текст: https://t.co/RkugEktyrV",,,949
"🇺🇦 Звання Герой України отримав командир ОБМП полковник Володимир Баранюк. 
Російські окупанти кинули на Маріуполь всі найбоєздатніші сили. Під постійним вогневим впливом переважаючих сил противника Володимир Баранюк успішно організував та забезпечив виконання завдань. https://t.co/maIjW4hAAU",,,934
"По суті лукашенко дозволив армії росії розстріляти свій народ. Президент, що санкціонував розстріл свого мирного населення. Так ти не батька тепер для білорусів. Ти під#р.",,,919
"Президент Польши Анджей Дуда сравнил Мариуполь с Варшавой 1944 года, путина - с гитлером, а российских военных - с эсэсовцами.

https://t.co/nOZGf9S18g https://t.co/fGja0vVi4j",,,906
"⚡️Российская Федерация должна вывести свои вооруженные силы с территории Приднестровья, являющейся частью Молдовы, - заявила президент Молдовы Майя Санду.",,,880
"Борлов Володимир – керівник ДСНЗ. Самостійно перейшов на бік окупантів, забезпечив їх медіа супроводженням, продовжує пильну співпрацю. Агітує та забезпечує перехід рятувальників на бік російських окупантів. До того, така ж публічна проукраїнська позиція.
https://t.co/00a39Zs3b1 https://t.co/9stdLl5WGY",,,855
"Як п’ятий Президент України, який підписав Угоду про асоціацію з ЄС та закріпив євроінтеграційний курс у Конституції України, я вітаю рішення шостого Президента України Володимира Зеленського офіційно подати заявку України на членство в Європейському Союзі!",,"П’ятий Президент України, 5th President of Ukraine https://t.co/7mP2euyF28…",839
"Россияне 
Подумайте об этом ещё раз…

Шульман президент

Теперь вперёд и боритесь за своё, ну ёмаё!
Если проебете момент то ВАМ ПІЗДА",,,836
"Старший лейтенант Володимир Чорний нині командує ротою однієї з частин ДШВ ЗСУ.

🔥 Під час бою за Волноваху, завдяки вмілим діям воїна-десантника було знищено близько півсотні живої сили противника, танк Т-72 і взято в полон 5 російських загарбників.

Пишаємося! До перемоги! https://t.co/E85Z7tRs6M",,,829
"Оооо, методичка сменилась. Теперь Лавров говорит, что ""спецоперация"" против Украины началась потому, что Украина задумала обрести свое ядерное оружие. И оно угрожало бы всему миру.
Да у нас президент ядерные войска привел в боевую готовность, кто тут угрожает, алло",,,818
Создание гуманитарного коридора в Мариуполе блокирует лично президент РФ Владимир Путин. Об этом заявил советник главы МВД Вадим Денисенко.,,,806
Слив нового дня. Президент Татарстана ведет переговоры с Кузбасом и Казахстаном об образовании Союза Мусульманских Европейских Государств (СМЕГ). В случае успеха - Татарстан запросит политической независимости и вступит в НАТО.,,,804
"Повертаючись до України з Туреччини та в розвиток діалогу 🇺🇦🇵🇱 лідерів, у Варшаві мене прийняв Президент Анджей Дуда. Я висловив вдячність за посилення військової, фінансової, гуманітарної допомоги Україні. Предметно обговорили захист України та просування нашого членства в ЄС.",,,800
"Россияне не дураки. Они достаточно умны,
чтобы увидеть отсутсвие флагов со свастикой в городах, которые бомбит Путин. Нет никаких нацистских приветствий. Демократически избранный президент Украины не имеет ничего общего с Гитлером. “Денацификация” - это грубая ложь.",,,792
"цель российского вторжения — ликвидация зеленского и его семьи. 

наш президент дома. его семья дома. он никуда не сбежал. он выходит на связь с нами каждый час. знайте это.",,,776
"Володимир Зеленський підписав указ № 74/2022 про присвоєння звання Героя України саперу, матросу Віталію Скакуну (посмертно) за визначну особисту мужність і героїзм, виявлені у захисті державного суверенітету й територіальної цілісності України, вірність військовій присязі. https://t.co/qFol2VwZaA",,,765
"💬Президент України @ZelenskyyUa :

У нас немає величезної території – від океану до океану, немає ядерної зброї, ми не заповнюємо світовий ринок нафтою і газом. Але у нас є наші люди і наша земля. Для нас – це золото. https://t.co/YmmbjVKx8K",,,703
"Цього дідуся звати Кохан Володимир Миколайович із села Немиринці. Він пожертвував для військових 2 свинки. Жіноча дивізія закрила для наших військових 620 банок свинини. 

Україна - батьківщина великих людей! І кожен робить свою справу від щирого серця❤️
Україна переможе! 🇺🇦 https://t.co/126Uhn52EY",,,695
"⚡️Президент України (@ZelenskyyUa) повідомив:

За два тижні бойових дій з 🇷🇺окупантами Україна втратила орієнтовно 1 300 воїнів. 

Вічна памʼять полеглим героям!
Не забудемо! Помстимося!",,,660
"❗️❗️Сьогодні, 1 березня, Президент України Володимир Зеленський виступить перед депутатами Європарламенту. 
Підписана заявка про вступ України до ЄС за прискореною процедурою була прийнята, зареєстрована і взята до розгляду.
Виступ Президента проходитиме у відеоформаті.",,,649
Спочатку вони називають нас неонацистами хоча у нас президент буквально ЄВРЕЙ а потім обстрілюють територію на якій знаходиться Бабин Яр)))))))))),,,647
"Президент надав звання Героїв України командирам полку ""Азов"" і 36-ї бригади морпіхів - https://t.co/sYZLUaRb2Z https://t.co/4qVWn6d6oU",,,641
Володимир Зеленський підписав закон про кримінальну відповідальність за співпрацю з рф.,,,634
"У 2008 під час вторгнення РФ президент України Ющенко допоміг Грузії, надав ракети для оборони. Зараз уряд Грузії чинить перепони добровольцям, що хочуть захищати Україну, та не хоче запровадити санкції проти РФ.
Дуже шкода, що ця чудова нація має такий уряд. Але він тимчасовий.",,,616
"Президент Швейцарии заговорил о неожиданном шаге - возможном замораживании российского капитала в стране. Такое решение может быть принято уже сегодня, 28 февраля, заявил Иньяцио Кассис. Также власти Швейцарии обсудят возможные санкции в отношении Путина https://t.co/CrJOvEUAGO https://t.co/xrLhHhmBGw",,,611
"Президент 🇺🇦 Володимир Зеленський підписав указ № 74/2022 про присвоєння звання Героя України саперу,матросу Віталію Скакуну (посмертно) за визначну особисту мужність і героїзм,виявлені у захисті державного суверенітету й територіальної цілісності 🇺🇦,вірність військовій присязі. https://t.co/rJvlowtWgx",,,609
"Думаю, Зеленский уже понял, что единственная страна, которая сейчас заинтересована в том, чтобы он был жив (дабы как президент подписал капитуляцию), это Россия. А остальные мечтают убрать его и обвинить в этом Москву.
Я бы на его месте просил у Путина охрану ФСО.",,,596
"Президент Сербии Вучич заявил, что у него много вопросов из-за намерения Путина платить за газ в рублях.

Вучич, ну так позвони Путину и задай вопросы.
В ответ Путин расскажет, как Ленин при поддержке печенегов вырастил Бандеру, а тот научил птиц распространять микробы.",,,580
"🇵🇱 ""В Польше достаточно места, чтобы хоронить нападающих"", - польский президент Анджей Дуда, в ответ на угрозы нападения на Польшу",,,567
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,545
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,545
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,545
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,545
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,545
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
RT @berdynskykh_k: 85 годин оборони. Міністр оборони Резніков і президент Зеленський #Ukraine https://t.co/EEgAdHB4ta,,,544
