id,osm_id,way,distance,name,highway
1,4350670,0102000020110F000017000000A67E234F24E93C416559689B2F815741C91CE2FA5BE93C419ADB8D5324815741B04F499881E93C417E06743F1C81574124278238A1E93C41C2A66D0E148157410FFA3E82B8E93C4143702DB90D815741DE104067C7E93C41E247A3B60981574191A33F1DD9E93C41C6D7213E048157418F36E642F2E93C41568EFAB0FB80574178FD0C5506EA3C41BB986D0DF4805741B26B085716EA3C414EEAD1B3EC805741DDF6E7C221EA3C41FE80AF04E78057410E84E19E2FEA3C41C61229ACDF805741F90AEC233AEA3C41C575652FDA805741A883A5FA42EA3C416C3B4190D380574140506D844BEA3C411F3BA17FCD805741A7DBEDF652EA3C41B28A7D77C6805741B6C5E1605AEA3C4174BFAAE0BC80574156603D055FEA3C411B008706B5805741D2865B2963EA3C4128FA3859AB8057416B38535067EA3C41230F3E81A3805741FCFECC8968EA3C417854FA3B9B80574149CBEDA369EA3C4124880A8095805741EB5BCD806DEA3C414FEE43358B805741,9.843432,,motorway_link
2,786372801,0102000020110F000002000000D5DBFF3175EA3C41C40A4B7E73805741A50FEBE98AEA3C41CE2EC44D96805741,9.823332,,motorway
3,615545516,0102000020110F00000700000085C9EBD794EA3C414393FF1AE580574186A95D1190EA3C41C8C8246AD880574135B97A5085EA3C41DEA5BB73C0805741E8C70D0C7FEA3C415CCFBF4AB18057410C217B297BEA3C412F8A5DD9A68057415DB23D1A73EA3C4163C99F5A96805741EB5BCD806DEA3C414FEE43358B805741,9.843432,,motorway
4,786372802,0102000020110F0000030000004518A189A3EA3C41EDAAF88C158157412D4FC5699CEA3C41ABA40DD0FB80574185C9EBD794EA3C414393FF1AE5805741,9.878925,,motorway
5,31721180,0102000020110F0000020000006EBED9BA81EA3C41660CBDDF02815741288B24B4D2EA3C419606B0B0F8805741,9.853254,,primary
6,31721179,0102000020110F000002000000288B24B4D2EA3C419606B0B0F8805741A044E9FDEFEA3C415124F413F5805741,9.83187,,primary
7,443068281,0102000020110F000006000000A50FEBE98AEA3C41CE2EC44D968057413BD5DA9F90EA3C41868DDB59A680574185C9EBD794EA3C41D072F4C6B0805741F82176E19CEA3C41D138A836C08057416B8EF879A6EA3C419B273511D88057412DA70D66ACEA3C416624FA4BED805741,9.831649,,motorway
8,229163295,0102000020110F000002000000A044E9FDEFEA3C415124F413F58057411A4F950D4CEB3C412932E25EE9805741,9.764407,,primary
9,49777233,0102000020110F00000C0000001A4F950D4CEB3C412932E25EE9805741F457ECB360EB3C41C4B12F17EA80574129BDF5716BEB3C41AB91B50EEB8057416601E7E575EB3C417C337454EC805741303B1A8587EB3C41A5FDCCDDEE8057412F62801F8FEB3C41B13BE6FBEF8057418D1895A397EB3C4103D402A1F1805741ECD581FBA2EB3C41F69BB4B7F380574141C664BCADEB3C419F26B0E1F5805741B9F6FEA7B2EB3C417B932514F7805741C0F57424B7EB3C413651537EF88057417E112E04BBEB3C41457D61A9FA805741,9.705895,,motorway_link
10,229163296,0102000020110F0000020000001A4F950D4CEB3C412932E25EE98057411B82DE8943EC3C41EF4DBFA5C8805741,9.582251,,primary
11,8079592,0102000020110F000015000000A50FEBE98AEA3C41CE2EC44D968057419FAFB1CAA2EA3C41D460A211A1805741DBEEE4DAACEA3C4181D5497EA6805741B4DA51AEBAEA3C41943AD205AD805741EA50AF07C9EA3C419E39339BB28057416D932D7BD8EA3C41A5C4592EB7805741BABC54F5E9EA3C419C30379FBB80574118C6F31102EB3C41B733296BC0805741CA73C32A18EB3C4185A9CE60C4805741B04EE2CB2DEB3C41E4E04B82C78057417B94ABA242EB3C41BC925807CA8057416969825C5CEB3C412A01D383CC805741F4C0884B74EB3C4106A6374BCE805741667BD7188DEB3C41D0007589CF80574125E55C2DA0EB3C412AC67710D0805741A46F5985B7EB3C41739FAF40D080574129E01567D1EB3C41592877F2CF80574193B4A4AAE7EB3C416950F336CF80574113373FAB00EC3C413C215AE4CD8057413C07F90716EC3C41FF5C8707CC8057411B82DE8943EC3C41EF4DBFA5C8805741,9.582251,,motorway_link
